AE2592,11-18-24-0100-001-00800,,,
AN2592,"https://www.zillow.com/homes/4110-ELM-ST_Lady-Lake,-FL32159_rb",,,
K2592,"=HYPERLINK(""https://www.zillow.com/homes/4110-ELM-ST_Lady-Lake,-FL32159_rb"", ""<<Click>>"")",,,
`2592,SINGLE FAMILY (0100),,,
AN2592,"https://www.zillow.com/homes/4110-ELM-ST_Lady-Lake,-FL32159_rb",,,
V2592,4110 ELM ST,,,
W2592,"Lady Lake FL, 32159",,,
V2586,11819 KEATS DR,,,
W2586,"Leesburg FL, 34788",,,
AE2586,01-19-25-0150-000-02800,,,
AN2586,"https://www.zillow.com/homes/11819-KEATS-DR_Leesburg,-FL34788_rb",,,
K2586,"=HYPERLINK(""https://www.zillow.com/homes/11819-KEATS-DR_Leesburg,-FL34788_rb"", ""<<Click>>"")",,,
`2586,MANUFACTURED HOME IN SUB (0200),,,
AN2586,"https://www.zillow.com/homes/11819-KEATS-DR_Leesburg,-FL34788_rb",,,
V2586,11819 KEATS DR,,,
W2586,"Leesburg FL, 34788",,,
V2587,42638 DOGWOOD AVE,,,
W2587,"Eustis FL, 32726",,,
AE2587,33-17-29-0002-000-08900,,,
AN2587,"https://www.zillow.com/homes/42638-DOGWOOD-AVE_Eustis,-FL32726_rb",,,
K2587,"=HYPERLINK(""https://www.zillow.com/homes/42638-DOGWOOD-AVE_Eustis,-FL32726_rb"", ""<<Click>>"")",,,
`2587,MANUFACTURED HOME (0230),,,
AN2587,"https://www.zillow.com/homes/42638-DOGWOOD-AVE_Eustis,-FL32726_rb",,,
V2590,25815 EXMOOR DR,,,
W2590,"Mount Plymouth FL, 32776",,,
AE2590,28-19-28-0100-043-03500,,,
AO2590,"https://www.zillow.com/homes/25815-EXMOOR-DR_Mount-Plymouth,-FL32776_rb",,,
K2590,"=HYPERLINK(""https://www.zillow.com/homes/25815-EXMOOR-DR_Mount-Plymouth,-FL32776_rb"", ""<<Click>>"")",,,
`2590,SINGLE FAMILY (0100),,,
AO2590,"https://www.zillow.com/homes/25815-EXMOOR-DR_Mount-Plymouth,-FL32776_rb",,,
V2590,25815 EXMOOR DR,,,
W2590,"Mount Plymouth FL, 32776",,,
V2591,5121 RIVER EDGE LN,,,
W2591,"Leesburg FL, 34748",,,
AE2591,13-20-24-0100-000-04100,,,
AO2591,"https://www.zillow.com/homes/5121-RIVER-EDGE-LN_Leesburg,-FL34748_rb",,,
K2591,"=HYPERLINK(""https://www.zillow.com/homes/5121-RIVER-EDGE-LN_Leesburg,-FL34748_rb"", ""<<Click>>"")",,,
`2591,SINGLE FAMILY (0100),,,
AO2591,"https://www.zillow.com/homes/5121-RIVER-EDGE-LN_Leesburg,-FL34748_rb",,,
V2591,5121 RIVER EDGE LN,,,
W2591,"Leesburg FL, 34748",,,
V2605,2960 WHITE MAGNOLIA LOOP,,,
W2605,"Clermont FL, 34711",,,
AE2605,03-23-26-1300-000-00300,,,
AO2605,"https://www.zillow.com/homes/2960-WHITE-MAGNOLIA-LOOP_Clermont,-FL34711_rb",,,
K2605,"=HYPERLINK(""https://www.zillow.com/homes/2960-WHITE-MAGNOLIA-LOOP_Clermont,-FL34711_rb"", ""<<Click>>"")",,,
`2605,SINGLE FAMILY (0100),,,
AO2605,"https://www.zillow.com/homes/2960-WHITE-MAGNOLIA-LOOP_Clermont,-FL34711_rb",,,
V2607,725 SCENIC DR,,,
W2607,"Leesburg FL, 34748",,,
AE2607,28-19-24-1300-000-00600,,,
AO2607,"https://www.zillow.com/homes/725-SCENIC-DR_Leesburg,-FL34748_rb",,,
K2607,"=HYPERLINK(""https://www.zillow.com/homes/725-SCENIC-DR_Leesburg,-FL34748_rb"", ""<<Click>>"")",,,
`2607,SINGLE FAMILY (0100),,,
AO2607,"https://www.zillow.com/homes/725-SCENIC-DR_Leesburg,-FL34748_rb",,,
V2607,725 SCENIC DR,,,
W2607,"Leesburg FL, 34748",,,
V2608,802 CLEARBROOK CT,,,
W2608,"Fruitland Park FL, 34731",,,
AE2608,08-19-24-2001-000-09100,,,
AO2608,"https://www.zillow.com/homes/802-CLEARBROOK-CT_Fruitland-Park,-FL34731_rb",,,
K2608,"=HYPERLINK(""https://www.zillow.com/homes/802-CLEARBROOK-CT_Fruitland-Park,-FL34731_rb"", ""<<Click>>"")",,,
`2608,SINGLE FAMILY (0100),,,
AO2608,"https://www.zillow.com/homes/802-CLEARBROOK-CT_Fruitland-Park,-FL34731_rb",,,
V2608,802 CLEARBROOK CT,,,
W2608,"Fruitland Park FL, 34731",,,
V2609,802 CLEARBROOK CT,,,
V2666,1401 NICHOLS DR,,,
W2666,"Tavares FL, 32778",,,
AE2666,28-19-26-0900-000-00901,,,
AO2666,"https://www.zillow.com/homes/1401-NICHOLS-DR_Tavares,-FL32778_rb",,,
K2666,"=HYPERLINK(""https://www.zillow.com/homes/1401-NICHOLS-DR_Tavares,-FL32778_rb"", ""<<Click>>"")",,,
`2666,SINGLE FAMILY (0100),,,
AO2666,"https://www.zillow.com/homes/1401-NICHOLS-DR_Tavares,-FL32778_rb",,,
V2666,1401 NICHOLS DR,,,
W2666,"Tavares FL, 32778",,,
V2667,16925 ELDERBERY DR,,,
W2667,"Montverde FL, 34756",,,
AE2667,01-22-26-0400-000-01400,,,
AO2667,"https://www.zillow.com/homes/16925-ELDERBERY-DR_Montverde,-FL34756_rb",,,
K2667,"=HYPERLINK(""https://www.zillow.com/homes/16925-ELDERBERY-DR_Montverde,-FL34756_rb"", ""<<Click>>"")",,,
`2667,MANUFACTURED HOME CANAL FRONTAGE (0232),,,
AO2667,"https://www.zillow.com/homes/16925-ELDERBERY-DR_Montverde,-FL34756_rb",,,
V2667,16925 ELDERBERY DR,,,
W2667,"Montverde FL, 34756",,,
V2668,42149 CHINABERRY ST,,,
W2668,"Eustis FL, 32736",,,
AE2668,36-17-28-0100-160-01900,,,
AO2668,"https://www.zillow.com/homes/42149-CHINABERRY-ST_Eustis,-FL32736_rb",,,
K2668,"=HYPERLINK(""https://www.zillow.com/homes/42149-CHINABERRY-ST_Eustis,-FL32736_rb"", ""<<Click>>"")",,,
`2668,SINGLE FAMILY (0100),,,
AO2668,"https://www.zillow.com/homes/42149-CHINABERRY-ST_Eustis,-FL32736_rb",,,
V2668,42149 CHINABERRY ST,,,
W2668,"Eustis FL, 32736",,,
V2670,42149 CHINABERRY ST,,,
V2671,725 TANGERINE DR,,,
W2671,"Lady Lake FL, 32159",,,
AE2671,06-18-24-0394-000-30020,,,
AO2671,"https://www.zillow.com/homes/725-TANGERINE-DR_Lady-Lake,-FL32159_rb",,,
K2671,"=HYPERLINK(""https://www.zillow.com/homes/725-TANGERINE-DR_Lady-Lake,-FL32159_rb"", ""<<Click>>"")",,,
`2671,MANUFACTURED HOME IN SUB (0200),,,
AO2671,"https://www.zillow.com/homes/725-TANGERINE-DR_Lady-Lake,-FL32159_rb",,,
V2671,725 TANGERINE DR,,,
W2671,"Lady Lake FL, 32159",,,
V2672,625 E KEY AVE,,,
W2672,"Eustis FL, 32726",,,
AE2672,11-19-26-0100-123-00101,,,
AO2672,"https://www.zillow.com/homes/625-E-KEY-AVE_Eustis,-FL32726_rb",,,
K2672,"=HYPERLINK(""https://www.zillow.com/homes/625-E-KEY-AVE_Eustis,-FL32726_rb"", ""<<Click>>"")",,,
`2672,SINGLE FAMILY (0100),,,
AO2672,"https://www.zillow.com/homes/625-E-KEY-AVE_Eustis,-FL32726_rb",,,
V2672,625 E KEY AVE,,,
W2672,"Eustis FL, 32726",,,
V2673,598 E HIGHLAND AVE,,,
W2673,"Clermont FL, 34711",,,
AE2673,19-22-26-1500-000-00100,,,
AO2673,"https://www.zillow.com/homes/598-E-HIGHLAND-AVE_Clermont,-FL34711_rb",,,
K2673,"=HYPERLINK(""https://www.zillow.com/homes/598-E-HIGHLAND-AVE_Clermont,-FL34711_rb"", ""<<Click>>"")",,,
`2673,SINGLE FAMILY (0100),,,
AO2673,"https://www.zillow.com/homes/598-E-HIGHLAND-AVE_Clermont,-FL34711_rb",,,
V2673,598 E HIGHLAND AVE,,,
W2673,"Clermont FL, 34711",,,
V2727,26750 PELICAN ST,,,
W2727,"Eustis FL, 32736",,,
AE2727,16-18-28-0100-000-07100,,,
AO2727,"https://www.zillow.com/homes/26750-PELICAN-ST_Eustis,-FL32736_rb",,,
K2727,"=HYPERLINK(""https://www.zillow.com/homes/26750-PELICAN-ST_Eustis,-FL32736_rb"", ""<<Click>>"")",,,
`2727,MANUFACTURED HOME (0230),,,
AO2727,"https://www.zillow.com/homes/26750-PELICAN-ST_Eustis,-FL32736_rb",,,
V2727,26750 PELICAN ST,,,
W2727,"Eustis FL, 32736",,,
V2730,9708 AVALON WOODS DR,,,
W2730,"Winter Garden FL, 34787",,,
AE2730,13-23-26-0001-000-02500,,,
AO2730,"https://www.zillow.com/homes/9708-AVALON-WOODS-DR_Winter-Garden,-FL34787_rb",,,
K2730,"=HYPERLINK(""https://www.zillow.com/homes/9708-AVALON-WOODS-DR_Winter-Garden,-FL34787_rb"", ""<<Click>>"")",,,
`2730,SINGLE FAMILY (0100),,,
AO2730,"https://www.zillow.com/homes/9708-AVALON-WOODS-DR_Winter-Garden,-FL34787_rb",,,
V2730,9708 AVALON WOODS DR,,,
W2730,"Winter Garden FL, 34787",,,
V3339,2023 MEADOWSIDE DR,,,
W3339,"Eustis FL, 32726",,,
AE3339,32-18-26-0260-000-02900,,,
AO3339,"https://www.zillow.com/homes/2023-MEADOWSIDE-DR_Eustis,-FL32726_rb",,,
K3339,"=HYPERLINK(""https://www.zillow.com/homes/2023-MEADOWSIDE-DR_Eustis,-FL32726_rb"", ""<<Click>>"")",,,
`3339,SINGLE FAMILY (0100),,,
AO3339,"https://www.zillow.com/homes/2023-MEADOWSIDE-DR_Eustis,-FL32726_rb",,,
